pod_name    node_name
app-req-driv-1-workload-0-replica-0      974
app-req-driv-1-workload-0-replica-1      1771
app-req-driv-1-workload-0-replica-2      947
app-req-driv-1-workload-0-replica-3      176
app-req-driv-1-workload-0-replica-4      1663
app-req-driv-1-workload-0-replica-5      939
app-req-driv-1-workload-0-replica-6      956
app-req-driv-1-workload-1-replica-0      227
app-req-driv-1-workload-1-replica-1      456
app-req-driv-1-workload-1-replica-2      1791
app-req-driv-1-workload-1-replica-3      330
app-req-driv-1-workload-1-replica-4      127
app-req-driv-1-workload-10-replica-0     721
app-req-driv-1-workload-10-replica-1     942
app-req-driv-1-workload-10-replica-10    468
app-req-driv-1-workload-10-replica-11    1827
app-req-driv-1-workload-10-replica-12    981
app-req-driv-1-workload-10-replica-13    636
app-req-driv-1-workload-10-replica-14    206
app-req-driv-1-workload-10-replica-15    1646
app-req-driv-1-workload-10-replica-16    927
app-req-driv-1-workload-10-replica-17    703
app-req-driv-1-workload-10-replica-18    1409
app-req-driv-1-workload-10-replica-2     914
app-req-driv-1-workload-10-replica-3     1798
app-req-driv-1-workload-10-replica-4     1822
app-req-driv-1-workload-10-replica-5     733
app-req-driv-1-workload-10-replica-6     1434
app-req-driv-1-workload-10-replica-7     1829
app-req-driv-1-workload-10-replica-8     652
app-req-driv-1-workload-10-replica-9     801
app-req-driv-1-workload-11-replica-0     763
app-req-driv-1-workload-11-replica-1     785
app-req-driv-1-workload-11-replica-10    753
app-req-driv-1-workload-11-replica-11    793
app-req-driv-1-workload-11-replica-12    796
app-req-driv-1-workload-11-replica-13    803
app-req-driv-1-workload-11-replica-14    743
app-req-driv-1-workload-11-replica-15    873
app-req-driv-1-workload-11-replica-16    808
app-req-driv-1-workload-11-replica-17    759
app-req-driv-1-workload-11-replica-18    883
app-req-driv-1-workload-11-replica-19    816
app-req-driv-1-workload-11-replica-2     819
app-req-driv-1-workload-11-replica-20    836
app-req-driv-1-workload-11-replica-21    885
app-req-driv-1-workload-11-replica-22    735
app-req-driv-1-workload-11-replica-23    749
app-req-driv-1-workload-11-replica-24    841
app-req-driv-1-workload-11-replica-3     754
app-req-driv-1-workload-11-replica-4     728
app-req-driv-1-workload-11-replica-5     797
app-req-driv-1-workload-11-replica-6     787
